#! FIELDS sim_num sim_time rescaled_time
0	1.7050e-09	2.6220e-07
1	1.4215e-09	2.1689e-07
2	3.9250e-10	7.3714e-08
4	1.6565e-09	2.3371e-07
5	1.7825e-09	2.4593e-07
6	1.3850e-09	1.7974e-07
7	7.1500e-11	4.2788e-09
8	6.0750e-10	8.8328e-08
9	7.1800e-10	9.7646e-08
10	3.3580e-09	4.3624e-07
11	4.4975e-09	6.6338e-07
12	1.7510e-09	3.0952e-07
13	5.8445e-09	8.1579e-07
14	6.3450e-10	8.8854e-08
15	1.5350e-09	2.3552e-07
16	2.6255e-09	3.9382e-07
18	2.8140e-09	4.3041e-07
19	3.1300e-09	4.7660e-07
20	6.9250e-10	1.2068e-07
21	4.2400e-10	7.0285e-08
22	8.9940e-09	1.3036e-06
23	6.2060e-09	9.1387e-07
24	2.0815e-09	2.8543e-07
25	1.4905e-09	2.3657e-07
26	6.2450e-10	9.5420e-08
27	2.5090e-09	4.2860e-07
28	5.4750e-10	8.7741e-08
29	1.3165e-09	2.1715e-07
30	6.2390e-09	8.0811e-07
31	6.0255e-09	9.3508e-07
32	4.6105e-09	7.3393e-07
33	9.3565e-09	1.4552e-06
34	1.1775e-09	1.5676e-07
35	4.0035e-09	5.6544e-07
36	2.9895e-09	4.1161e-07
37	2.7590e-09	4.0668e-07
38	7.1100e-10	1.0462e-07
39	3.7760e-09	5.6958e-07
41	1.7870e-09	2.9528e-07
42	3.4395e-09	4.8288e-07
43	1.0715e-08	1.6267e-06
44	7.4150e-10	1.0389e-07
45	5.1400e-09	7.9733e-07
46	6.6800e-09	9.3315e-07
47	2.1850e-10	3.4398e-08
48	7.0295e-09	1.1067e-06
49	8.1350e-10	1.1577e-07
50	6.7650e-10	8.7883e-08
52	1.3450e-10	1.1810e-08
53	1.8575e-09	2.5716e-07
54	3.5590e-09	5.0440e-07
55	3.8985e-09	5.8354e-07
56	4.8000e-10	8.8578e-08
57	1.7335e-09	2.4703e-07
58	3.3120e-09	5.4671e-07
59	5.8350e-10	9.2672e-08
60	3.3895e-09	4.8526e-07
#! FIELDS sim_num sim_time rescaled_time
0	1.0192e-08	2.1372e-07
1	1.5374e-08	2.6701e-07
2	2.8990e-09	6.7423e-08
3	1.5957e-08	3.3622e-07
4	6.3895e-09	1.0898e-07
7	5.0250e-09	7.7030e-08
9	8.3155e-09	1.2961e-07
10	1.6045e-09	4.1260e-08
14	1.3570e-08	2.9549e-07
15	1.8911e-08	3.0334e-07
22	1.5044e-08	3.2138e-07
23	3.7950e-09	7.8093e-08
25	3.7220e-09	7.2615e-08
26	9.6245e-09	1.9344e-07
29	1.0620e-09	2.8933e-08
11	5.4135e-09	3.8394e-08
5	8.1325e-09	5.4817e-08
12	6.3725e-09	4.5087e-08
24	2.2150e-10	1.3606e-09
8	1.9633e-08	1.2761e-07
19	6.0355e-09	4.3177e-08
